title,length,rental_rate
"ROCKETEER MOTHER",178,0.99
"WARDROBE PHANTOM",178,2.99
"WRONG BEHAVIOR",178,2.99
"DOUBLE WRATH",177,0.99
"DOZEN LION",177,4.99
"EMPIRE MALKOVICH",177,0.99
"MANCHURIAN CURTAIN",177,2.99
"QUEST MUSSOLINI",177,2.99
"RIDER CADDYSHACK",177,2.99
"BRAVEHEART HUMAN",176,2.99
"CAPER MOTIONS",176,0.99
"CYCLONE FAMILY",176,2.99
"DRACULA CRYSTAL",176,0.99
"ENTRAPMENT SATISFACTION",176,0.99
"GATHERING CALENDAR",176,0.99
"GREEK EVERYONE",176,2.99
"HOOSIERS BIRDCAGE",176,2.99
"SWEDEN SHINING",176,4.99
"WRATH MILE",176,0.99
"BEAUTY GREASE",175,4.99
"DRIVING POLISH",175,4.99
"LAWRENCE LOVE",175,0.99
"MODEL FISH",175,4.99
"PATTON INTERVIEW",175,2.99
"SPLASH GUMP",175,0.99
"EVOLUTION ALTER",174,0.99
"ITALIAN AFRICAN",174,4.99
"JADE BUNCH",174,2.99
"LIGHTS DEER",174,0.99
"UPRISING UPTOWN",174,2.99
"VIETNAM SMOOCHY",174,0.99
"BALLROOM MOCKINGBIRD",173,0.99
"CONQUERER NUTS",173,4.99
"FIRE WOLVES",173,4.99
"GLADIATOR WESTWARD",173,4.99
"PIZZA JUMANJI",173,2.99
"TALENTED HOMICIDE",173,0.99
"VELVET TERMINATOR",173,4.99
"CONNECTICUT TRAMP",172,4.99
"CREEPERS KANE",172,4.99
"EYES DRIVING",172,2.99
"IDAHO LOVE",172,2.99
"JERK PAYCHECK",172,2.99
"NORTHWEST POLISH",172,2.99
"TIGHTS DAWN",172,0.99
"UNCUT SUICIDES",172,2.99
"DUFFEL APOCALYPSE",171,0.99
"JERICHO MULAN",171,2.99
"KRAMER CHOCOLATE",171,2.99
"MAGNOLIA FORRESTER",171,0.99
"MOONSHINE CABIN",171,4.99
"ROXANNE REBEL",171,0.99
"TRAMP OTHERS",171,0.99
"WORLD LEATHERNECKS",171,0.99
"ARTIST COLDBLOODED",170,2.99
"ATLANTIS CAUSE",170,2.99
"DRAGON SQUAD",170,0.99
"TRADING PINOCCHIO",170,4.99
"AGENT TRUMAN",169,2.99
"BREAKING HOME",169,2.99
"HEDWIG ALTER",169,2.99
"KENTUCKIAN GIANT",169,2.99
"OUTBREAK DIVINE",169,0.99
"SOUP WISDOM",169,0.99
"ANTITRUST TOMATOES",168,2.99
"DYING MAKER",168,4.99
"HAROLD FRENCH",168,0.99
"TRANSLATION SUMMER",168,0.99
"CAMPUS REMEMBER",167,2.99
"ESCAPE METROPOLIS",167,2.99
"EXORCIST STING",167,2.99
"INCH JET",167,4.99
"LESSON CLEOPATRA",167,0.99
"REQUIEM TYCOON",167,4.99
"SHOW LORD",167,4.99
"CONTACT ANONYMOUS",166,2.99
"GREEDY ROOTS",166,0.99
"MINE TITANS",166,4.99
"MOTIONS DETAILS",166,0.99
"MURDER ANTITRUST",166,2.99
"CITIZEN SHREK",165,0.99
"DARLING BREAKING",165,4.99
"MASSACRE USUAL",165,4.99
"SONG HEDWIG",165,0.99
"SPEAKEASY DATE",165,2.99
"CLERKS ANGELS",164,4.99
"MISSION ZOOLANDER",164,4.99
"UNITED PILOT",164,0.99
"VIRGINIAN PLUTO",164,0.99
"BIRD INDEPENDENCE",163,4.99
"CASPER DRAGONFLY",163,4.99
"EVERYONE CRAFT",163,0.99
"GILMORE BOILED",163,0.99
"KISS GLORY",163,4.99
"QUEEN LUKE",163,4.99
"STORY SIDE",163,0.99
"BADMAN DAWN",162,2.99
"BIRCH ANTITRUST",162,4.99
"LOVERBOY ATTACKS",162,0.99
"MIRACLE VIRTUAL",162,2.99
"ROSES TREASURE",162,4.99
"BROOKLYN DESERT",161,4.99
"DADDY PITTSBURGH",161,4.99
"GABLES METROPOLIS",161,0.99
"KILLER INNOCENT",161,2.99
"MASSAGE IMAGE",161,2.99
"METAL ARMAGEDDON",161,2.99
"NEIGHBORS CHARADE",161,0.99
"OLEANDER CLUE",161,0.99
"WASH HEAVENLY",161,4.99
"BEAR GRACELAND",160,2.99
"IGBY MAKER",160,4.99
"MULAN MOON",160,0.99
"MUMMY CREATURES",160,0.99
"PEACH INNOCENT",160,2.99
"STOCK GLASS",160,2.99
"DRIVER ANNIE",159,2.99
"FRANKENSTEIN STRANGER",159,0.99
"MALKOVICH PET",159,2.99
"NEWSIES STORY",159,0.99
"POSEIDON FOREVER",159,4.99
"WEST LION",159,4.99
"ENOUGH RAGING",158,2.99
"FEVER EMPIRE",158,4.99
"FOOL MOCKINGBIRD",158,4.99
"MONTEREY LABYRINTH",158,0.99
"ROAD ROXANNE",158,4.99
"SECRETARY ROUGE",158,4.99
"HOBBIT ALIEN",157,0.99
"INDEPENDENCE HOTEL",157,0.99
"MULHOLLAND BEAST",157,2.99
"PAST SUICIDES",157,4.99
"TOOTSIE PILOT",157,0.99
"VOLCANO TEXAS",157,0.99
"FINDING ANACONDA",156,0.99
"GRADUATE LORD",156,2.99
"OPERATION OPERATION",156,2.99
"SLIPPER FIDELITY",156,0.99
"ELF MURDER",155,4.99
"FAMILY SWEET",155,0.99
"GRAPES FURY",155,0.99
"LOLITA WORLD",155,2.99
"PSYCHO SHRUNK",155,2.99
"TADPOLE PARK",155,2.99
"DOUBTFIRE LABYRINTH",154,4.99
"DURHAM PANKY",154,4.99
"GOLD RIVER",154,4.99
"RAGING AIRPLANE",154,4.99
"SANTA PARIS",154,2.99
"SASSY PACKER",154,0.99
"SHREK LICENSE",154,2.99
"APOLLO TEEN",153,2.99
"BABY HALL",153,4.99
"CROSSROADS CASUALTIES",153,2.99
"EDGE KISSING",153,4.99
"GOLDMINE TYCOON",153,0.99
"LEATHERNECKS DWARFS",153,2.99
"RIGHT CRANES",153,4.99
"ROLLERCOASTER BRINGING",153,2.99
"RULES HUMAN",153,4.99
"CENTER DINOSAUR",152,4.99
"ELIZABETH SHANE",152,4.99
"LUCK OPUS",152,2.99
"SISTER FREDDY",152,4.99
"TELEMARK HEARTBREAKERS",152,2.99
"TOURIST PELICAN",152,4.99
"TUXEDO MILE",152,2.99
"TWISTED PIRATES",152,4.99
"WAGON JAWS",152,2.99
"BEETHOVEN EXORCIST",151,0.99
"CAROL TEXAS",151,2.99
"HUNCHBACK IMPOSSIBLE",151,4.99
"MASKED BUBBLE",151,0.99
"SCHOOL JACKET",151,4.99
"SPOILERS HELLFIGHTERS",151,0.99
"STRAIGHT HOURS",151,0.99
"ALI FOREVER",150,4.99
"BINGO TALENTED",150,2.99
"CHRISTMAS MOONSHINE",150,0.99
"CLEOPATRA DEVIL",150,0.99
"GRINCH MASSAGE",150,4.99
"HYSTERICAL GRAIL",150,4.99
"RUSHMORE MERMAID",150,2.99
"SATURDAY LAMBS",150,4.99
"COLOR PHILADELPHIA",149,2.99
"HOLOCAUST HIGHBALL",149,0.99
"MINDS TRUMAN",149,4.99
"NIGHTMARE CHILL",149,4.99
"RIVER OUTLAW",149,0.99
"SPIRIT FLINTSTONES",149,0.99
"ARMY FLINTSTONES",148,0.99
"BLANKET BEVERLY",148,2.99
"EASY GLADIATOR",148,4.99
"FIREBALL PHILADELPHIA",148,0.99
"FLINTSTONES HAPPINESS",148,4.99
"OUTLAW HANKY",148,4.99
"TELEGRAPH VOYAGE",148,4.99
"ARACHNOPHOBIA ROLLERCOASTER",147,2.99
"DIRTY ACE",147,2.99
"LIES TREATMENT",147,4.99
"MADISON TRAP",147,2.99
"MENAGERIE RUSHMORE",147,2.99
"RACER EGG",147,2.99
"RANGE MOONWALKER",147,4.99
"SCISSORHANDS SLUMS",147,2.99
"SLUMS DUCK",147,0.99
"CHAPLIN LICENSE",146,2.99
"COWBOY DOOM",146,2.99
"HALF OUTFIELD",146,2.99
"HAMLET WISDOM",146,2.99
"MOURNING PURPLE",146,0.99
"FLOATS GARDEN",145,2.99
"NUTS TIES",145,4.99
"PAYCHECK WAIT",145,4.99
"ROCKY WAR",145,4.99
"RUN PACIFIC",145,0.99
"VACATION BOONDOCK",145,2.99
"VIDEOTAPE ARSENIC",145,4.99
"DANCING FEVER",144,0.99
"FACTORY DRAGON",144,0.99
"LAMBS CINCINATTI",144,4.99
"PACIFIC AMISTAD",144,0.99
"PRESIDENT BANG",144,4.99
"STRICTLY SCARFACE",144,2.99
"TOWERS HURRICANE",144,0.99
"VIRTUAL SPOILERS",144,4.99
"CINCINATTI WHISPERER",143,4.99
"CLOCKWORK PARADISE",143,0.99
"CROOKED FROGMEN",143,0.99
"DETECTIVE VISION",143,0.99
"ENCINO ELF",143,0.99
"SOUTH WAIT",143,2.99
"STEEL SANTA",143,4.99
"BIKINI BORROWERS",142,4.99
"CHILL LUCK",142,0.99
"FERRIS MOTHER",142,2.99
"MILLION ACE",142,4.99
"TOMORROW HUSTLER",142,2.99
"TRACY CIDER",142,0.99
"VANISHED GARDEN",142,0.99
"DISCIPLE MOTHER",141,0.99
"DYNAMITE TARZAN",141,0.99
"HOCUS FRIDA",141,2.99
"HOMICIDE PEACH",141,2.99
"KISSING DOLLS",141,4.99
"SPICE SORORITY",141,4.99
"SUN CONFESSIONS",141,0.99
"EAGLES PANKY",140,4.99
"GRACELAND DYNAMITE",140,4.99
"LIAISONS SWEET",140,4.99
"LOATHING LEGALLY",140,0.99
"STEERS ARMAGEDDON",140,4.99
"CLYDE THEORY",139,0.99
"CREATURES SHAKESPEARE",139,0.99
"DORADO NOTTING",139,4.99
"GROUNDHOG UNCUT",139,4.99
"HOPE TOOTSIE",139,2.99
"HORROR REIGN",139,0.99
"SHRUNK DIVINE",139,2.99
"STRANGER STRANGERS",139,4.99
"TRAFFIC HOBBIT",139,4.99
"VOICE PEACH",139,0.99
"WORKER TARZAN",139,2.99
"EXPECATIONS NATURAL",138,4.99
"LIBERTY MAGNIFICENT",138,2.99
"MAIDEN HOME",138,4.99
"POCUS PULP",138,0.99
"SPINAL ROCKY",138,2.99
"SPIRITED CASUALTIES",138,0.99
"ARSENIC INDEPENDENCE",137,0.99
"GRIT CLOCKWORK",137,0.99
"LIFE TWISTED",137,2.99
"LOSE INCH",137,0.99
"PHILADELPHIA WIFE",137,4.99
"POLLOCK DELIVERANCE",137,2.99
"SCORPION APOLLO",137,4.99
"SLEEPY JAPANESE",137,2.99
"WILLOW TRACY",137,2.99
"ALASKA PHANTOM",136,0.99
"BRINGING HYSTERICAL",136,2.99
"CRAZY HOME",136,2.99
"HOLLOW JEOPARDY",136,4.99
"MAKER GABLES",136,0.99
"PIANIST OUTFIELD",136,0.99
"REAP UNFAITHFUL",136,2.99
"SQUAD FISH",136,2.99
"TOWN ARK",136,2.99
"CANDLES GRAPES",135,4.99
"DREAM PICKUP",135,2.99
"GREASE YOUTH",135,0.99
"INDIAN LOVE",135,0.99
"JAPANESE RUN",135,0.99
"MONEY HAROLD",135,2.99
"SIERRA DIVIDE",135,0.99
"SUNRISE LEAGUE",135,4.99
"THIEF PELICAN",135,4.99
"WALLS ARTIST",135,4.99
"JUNGLE CLOSER",134,0.99
"PITTSBURGH HUNCHBACK",134,4.99
"ROBBERY BRIGHT",134,0.99
"SPLENDOR PATTON",134,0.99
"WEEKEND PERSONAL",134,2.99
"BUCKET BROTHERHOOD",133,4.99
"CURTAIN VIDEOTAPE",133,0.99
"DRAGONFLY STRANGERS",133,4.99
"FREEDOM CLEOPATRA",133,0.99
"MALLRATS UNITED",133,0.99
"CHOCOLATE DUCK",132,2.99
"DUDE BLINDNESS",132,4.99
"NECKLACE OUTBREAK",132,0.99
"PLATOON INSTINCT",132,4.99
"SKY MIRACLE",132,2.99
"STREAK RIDGEMONT",132,0.99
"TRAINSPOTTING STRANGERS",132,4.99
"VOLUME HOUSE",132,4.99
"FANTASIA PARK",131,2.99
"FOREVER CANDIDATE",131,2.99
"ICE CROSSING",131,2.99
"NEMO CAMPUS",131,2.99
"OPEN AFRICAN",131,4.99
"AFRICAN EGG",130,2.99
"DARKO DORADO",130,4.99
"FARGO GANDHI",130,2.99
"JASON TRAP",130,2.99
"MAJESTIC FLOATS",130,0.99
"STALLION SUNDANCE",130,0.99
"AMERICAN CIRCUS",129,4.99
"BAREFOOT MANCHURIAN",129,2.99
"GOSFORD DONNIE",129,4.99
"MUSIC BOONDOCK",129,0.99
"OUTFIELD MASSACRE",129,0.99
"SLEEPING SUSPECTS",129,4.99
"UNFORGIVEN ZOOLANDER",129,0.99
"GALAXY SWEETHEARTS",128,4.99
"HOLES BRANNIGAN",128,4.99
"JEDI BENEATH",128,0.99
"NOTORIOUS REUNION",128,0.99
"PAPI NECKLACE",128,0.99
"USUAL UNTOUCHABLES",128,4.99
"WARS PLUTO",128,2.99
"ARGONAUTS TOWN",127,0.99
"GUNFIGHTER MUSSOLINI",127,2.99
"MALTESE HOPE",127,4.99
"SEVEN SWARM",127,4.99
"SUBMARINE BED",127,4.99
"ALAMO VIDEOTAPE",126,0.99
"ELEPHANT TROJAN",126,4.99
"FREAKY POCUS",126,2.99
"MONTEZUMA COMMAND",126,0.99
"PAJAMA JAWBREAKER",126,0.99
"SINNERS ATLANTIS",126,2.99
"VAMPIRE WHALE",126,4.99
"WOMEN DORADO",126,0.99
"WONDERFUL DROP",126,2.99
"BULL SHAWSHANK",125,0.99
"DONNIE ALLEY",125,0.99
"FISH OPUS",125,2.99
"GENTLEMEN STAGE",125,2.99
"HUNTER ALTER",125,2.99
"SAINTS BRIDE",125,2.99
"SHINING ROSES",125,0.99
"CHISUM BEHAVIOR",124,4.99
"CLONES PINOCCHIO",124,2.99
"JINGLE SAGEBRUSH",124,4.99
"SPEED SUIT",124,4.99
"BREAKFAST GOLDFINGER",123,4.99
"FLASH WARS",123,4.99
"INSECTS STONE",123,0.99
"MASK PEACH",123,2.99
"REEF SALUTE",123,0.99
"SWARM GOLD",123,0.99
"VANISHING ROCKY",123,2.99
"BEACH HEARTBREAKERS",122,2.99
"BETRAYED REAR",122,4.99
"CHICKEN HELLFIGHTERS",122,0.99
"CONFUSED CANDLES",122,2.99
"DECEIVER BETRAYED",122,0.99
"DOGMA FAMILY",122,4.99
"EXTRAORDINARY CONQUERER",122,2.99
"HOURS RAGE",122,0.99
"ILLUSION AMELIE",122,0.99
"MIGHTY LUCK",122,2.99
"VANILLA DAY",122,4.99
"ARIZONA BANG",121,2.99
"BOOGIE AMELIE",121,4.99
"BRANNIGAN SUNRISE",121,4.99
"DANGEROUS UPTOWN",121,4.99
"HARRY IDAHO",121,4.99
"JUMANJI BLADE",121,2.99
"PARIS WEEKEND",121,2.99
"PURE RUNNER",121,2.99
"CALENDAR GUNFIGHT",120,4.99
"COMMAND DARLING",120,4.99
"DAZED PUNK",120,4.99
"DOLLS RAGE",120,2.99
"KARATE MOON",120,0.99
"LOCK REAR",120,2.99
"ORDER BETRAYED",120,2.99
"RAGE GAMES",120,4.99
"UNTOUCHABLES SUNRISE",120,2.99
"APOCALYPSE FLAMINGOS",119,4.99
"BUGSY SONG",119,2.99
"DUMBO LUST",119,0.99
"GAMES BOWFINGER",119,4.99
"IDENTITY LOVER",119,2.99
"STRANGERS GRAFFITI",119,4.99
"BACKLASH UNDEFEATED",118,4.99
"FIDELITY DEVIL",118,4.99
"JAWBREAKER BROOKLYN",118,0.99
"ORIENT CLOSER",118,2.99
"OTHERS SOUP",118,2.99
"PATHS CONTROL",118,4.99
"PERSONAL LADYBUGS",118,0.99
"ROUGE SQUAD",118,0.99
"AFFAIR PREJUDICE",117,2.99
"CHAMBER ITALIAN",117,4.99
"GRAFFITI LOVE",117,0.99
"MAGIC MALLRATS",117,0.99
"RESURRECTION SILVERADO",117,0.99
"DUCK RACER",116,2.99
"INSTINCT AIRPORT",116,2.99
"MADIGAN DORADO",116,4.99
"WORDS HUNTER",116,2.99
"CONNECTION MICROCOSMOS",115,0.99
"ELEMENT FREDDY",115,4.99
"GLORY TRACY",115,2.99
"OSCAR GOLD",115,2.99
"POTTER CONNECTICUT",115,2.99
"PRIX UNDEFEATED",115,2.99
"TROOPERS METAL",115,0.99
"ALABAMA DEVIL",114,2.99
"BLADE POLISH",114,0.99
"CARRIE BUNCH",114,0.99
"CHAINSAW UPTOWN",114,0.99
"CHASING FIGHT",114,4.99
"GILBERT PELICAN",114,0.99
"MARRIED GO",114,2.99
"PRIDE ALAMO",114,0.99
"SUGAR WONKA",114,4.99
"SUPERFLY TRIP",114,0.99
"AMADEUS HOLY",113,0.99
"ATTACKS HATE",113,4.99
"BANGER PINOCCHIO",113,0.99
"DAY UNFAITHFUL",113,4.99
"LADYBUGS ARMAGEDDON",113,0.99
"LEGALLY SECRETARY",113,4.99
"SHEPHERD MIDSUMMER",113,0.99
"STATE WASTELAND",113,2.99
"CAT CONEHEADS",112,4.99
"CONEHEADS SMOOCHY",112,4.99
"CONVERSATION DOWNHILL",112,4.99
"CROWDS TELEMARK",112,4.99
"CRUSADE HONEY",112,2.99
"FORRESTER COMANCHEROS",112,4.99
"JAWS HARRY",112,2.99
"QUILLS BULL",112,4.99
"SEABISCUIT PUNK",112,2.99
"SPY MILE",112,2.99
"STAGECOACH ARMAGEDDON",112,4.99
"WAIT CIDER",112,0.99
"WATERSHIP FRONTIER",112,0.99
"FROGMEN BREAKING",111,0.99
"GROOVE FICTION",111,0.99
"SIEGE MADRE",111,0.99
"SUIT WALLS",111,4.99
"TIES HUNGER",111,4.99
"WIND PHANTOM",111,0.99
"WONDERLAND CHRISTMAS",111,4.99
"CELEBRITY HORN",110,0.99
"DRUMLINE CYCLONE",110,0.99
"HIGHBALL POTTER",110,0.99
"LEAGUE HELLFIGHTERS",110,4.99
"REMEMBER DIARY",110,2.99
"SAMURAI LION",110,2.99
"SEATTLE EXPECATIONS",110,4.99
"SNATCH SLIPPER",110,4.99
"TRAP GUYS",110,4.99
"COMA HEAD",109,4.99
"HOUSE DYNAMITE",109,2.99
"PANTHER REDS",109,4.99
"PARK CITIZEN",109,4.99
"RUGRATS SHAKESPEARE",109,0.99
"SECRETS PARADISE",109,4.99
"WHALE BIKINI",109,4.99
"AUTUMN CROW",108,4.99
"GORGEOUS BINGO",108,2.99
"HANDICAP BOONDOCK",108,0.99
"LORD ARIZONA",108,2.99
"SWEETHEARTS SUSPECTS",108,0.99
"CHITTY LOCK",107,2.99
"DIARY PANIC",107,2.99
"EFFECT GLADIATOR",107,0.99
"HANKY OCTOBER",107,2.99
"HATE HANDICAP",107,0.99
"INTENTIONS EMPIRE",107,2.99
"MONSTER SPARTACUS",107,2.99
"PARTY KNOCK",107,2.99
"UNDEFEATED DALMATIONS",107,4.99
"WANDA CHAMBER",107,4.99
"BED HIGHBALL",106,2.99
"DALMATIONS SWEDEN",106,0.99
"DEER VIRGINIAN",106,2.99
"GASLIGHT CRUSADE",106,2.99
"PRIVATE DROP",106,4.99
"SAGEBRUSH CLUELESS",106,2.99
"HUNGER ROOF",105,0.99
"JOON NORTHWEST",105,0.99
"MICROCOSMOS PARADISE",105,2.99
"MOB DUFFEL",105,0.99
"WON DARES",105,2.99
"ZHIVAGO CORE",105,0.99
"CROW GREASE",104,0.99
"DATE SPEED",104,0.99
"FEATHERS METAL",104,0.99
"MERMAID INSECTS",104,4.99
"SHIP WONDERLAND",104,2.99
"TITANIC BOONDOCK",104,4.99
"BIRDCAGE CASPER",103,0.99
"BLINDNESS GUN",103,4.99
"FIREHOUSE VIETNAM",103,0.99
"GLASS DYING",103,0.99
"HOMEWARD CIDER",103,0.99
"IMPOSSIBLE PREJUDICE",103,4.99
"MOTHER OLEANDER",103,0.99
"PINOCCHIO SIMON",103,4.99
"STRANGELOVE DESIRE",103,0.99
"BOILED DARES",102,4.99
"FALCON VOLUME",102,4.99
"GIANT TROOPERS",102,2.99
"HEAVYWEIGHTS BEAST",102,4.99
"JEOPARDY ENCINO",102,0.99
"OPUS ICE",102,4.99
"PANIC CLUB",102,4.99
"ROBBERS JOON",102,2.99
"ROCK INSTINCT",102,0.99
"SCARFACE BANG",102,4.99
"TREASURE COMMAND",102,0.99
"CHOCOLAT HARRY",101,0.99
"CIDER DESIRE",101,2.99
"DWARFS ALTER",101,2.99
"GHOSTBUSTERS ELF",101,0.99
"ROOF CHAMPION",101,0.99
"RUNNER MADIGAN",101,0.99
"ZOOLANDER FICTION",101,2.99
"BEHAVIOR RUNAWAY",100,4.99
"BILKO ANONYMOUS",100,4.99
"DELIVERANCE MULHOLLAND",100,0.99
"DIVINE RESURRECTION",100,2.99
"FLATLINERS KILLER",100,2.99
"GUN BONNIE",100,0.99
"HAPPINESS UNITED",100,2.99
"HYDE DOCTOR",100,2.99
"PIRATES ROXANNE",100,0.99
"PUNK DIVORCE",100,4.99
"WITCHES PANIC",100,4.99
"WYOMING STORM",100,4.99
"ARMAGEDDON LOST",99,0.99
"DARKNESS WAR",99,2.99
"FRENCH HOLIDAY",99,4.99
"PATIENT SISTER",99,0.99
"PERDITION FARGO",99,4.99
"PET HAUNTING",99,0.99
"SABRINA MIDNIGHT",99,4.99
"TENENBAUMS COMMAND",99,0.99
"BOUND CHEAPER",98,0.99
"EARRING INSTINCT",98,0.99
"FEUD FROGMEN",98,0.99
"LOST BIRD",98,2.99
"MADRE GABLES",98,2.99
"PREJUDICE OLEANDER",98,4.99
"SENSIBILITY REAR",98,4.99
"WISDOM WORKER",98,0.99
"EXPENDABLE STALLION",97,0.99
"INVASION CYCLONE",97,2.99
"LUCKY FLYING",97,2.99
"REAR TRADING",97,0.99
"DRUMS DYNAMITE",96,0.99
"EARLY HOME",96,4.99
"CLUELESS BUCKET",95,2.99
"HORN WORKING",95,2.99
"ALICE FANTASIA",94,0.99
"DISTURBING SCARFACE",94,2.99
"FULL FLATLINERS",94,2.99
"STONE FIRE",94,0.99
"BILL OTHERS",93,2.99
"GOLDFINGER SENSIBILITY",93,0.99
"GREATEST NORTH",93,2.99
"HILLS NEIGHBORS",93,0.99
"PANKY SUBMARINE",93,4.99
"SHANE DARKNESS",93,2.99
"STING PERSONAL",93,4.99
"SUICIDES SILENCE",93,4.99
"ANACONDA CONFESSIONS",92,0.99
"APACHE DIVINE",92,4.99
"CARIBBEAN LIBERTY",92,4.99
"CORE SUIT",92,2.99
"ENCOUNTERS CURTAIN",92,0.99
"KANE EXORCIST",92,0.99
"MYSTIC TRUMAN",92,0.99
"NATIONAL STORY",92,2.99
"OPPOSITE NECKLACE",92,4.99
"SUNDANCE INVASION",92,0.99
"TRUMAN CRAZY",92,4.99
"ANTHEM LUKE",91,4.99
"FATAL HAUNTED",91,2.99
"FIGHT JAWBREAKER",91,0.99
"LICENSE WEEKEND",91,2.99
"TARZAN VIDEOTAPE",91,2.99
"TITANS JERK",91,4.99
"BASIC EASY",90,2.99
"CIRCUS YOUTH",90,2.99
"FORWARD TEMPLE",90,2.99
"SECRET GROUNDHOG",90,4.99
"VERTIGO NORTHWEST",90,2.99
"BEAST HUNCHBACK",89,4.99
"BUTTERFLY CHOCOLAT",89,0.99
"DARES PLUTO",89,2.99
"GLEAMING JAWBREAKER",89,2.99
"PULP BEVERLY",89,2.99
"ROOTS REMEMBER",89,0.99
"DETAILS PACKER",88,4.99
"HOLY TADPOLE",88,0.99
"PURPLE MOVIE",88,2.99
"TERMINATOR CLUB",88,4.99
"BANG KWAI",87,2.99
"CHEAPER CLYDE",87,0.99
"CONGENIALITY QUEST",87,0.99
"DEVIL DESIRE",87,4.99
"SLEUTH ORIENT",87,0.99
"TREATMENT JEKYLL",87,0.99
"ACADEMY DINOSAUR",86,0.99
"ANNIE IDENTITY",86,0.99
"GANDHI KWAI",86,0.99
"MIDNIGHT WESTWARD",86,0.99
"YENTL IDAHO",86,4.99
"AMISTAD MIDSUMMER",85,2.99
"BEVERLY OUTLAW",85,2.99
"BLACKOUT PRIVATE",85,2.99
"CANYON STOCK",85,0.99
"CASABLANCA SUPER",85,4.99
"EARTH VISION",85,0.99
"EGYPT TENENBAUMS",85,0.99
"ENDING CROWDS",85,0.99
"GHOST GROUNDHOG",85,4.99
"GRAIL FRANKENSTEIN",85,2.99
"LOLA AGENT",85,4.99
"OZ LIAISONS",85,2.99
"STAGE WORLD",85,2.99
"VARSITY TRIP",85,2.99
"WASTELAND DIVINE",85,2.99
"WINDOW SIDE",85,2.99
"WONKA SEA",85,2.99
"DAISY MENAGERIE",84,4.99
"GONE TROUBLE",84,2.99
"GUYS FALCON",84,4.99
"HIGH ENCINO",84,2.99
"HONEY TIES",84,0.99
"IDOLS SNATCHERS",84,2.99
"ISLAND EXORCIST",84,2.99
"JEEPERS WEDDING",84,2.99
"PACKER MADIGAN",84,0.99
"PLUTO OLEANDER",84,4.99
"SAVANNAH TOWN",84,0.99
"SLING LUKE",84,0.99
"UPTOWN YOUNG",84,2.99
"ATTRACTION NEWTON",83,4.99
"FUGITIVE MAGUIRE",83,4.99
"HUSTLER PARTY",83,4.99
"MOON BUNCH",83,0.99
"NONE SPIKING",83,0.99
"WARLOCK WEREWOLF",83,2.99
"ALONE TRIP",82,0.99
"ANYTHING SAVANNAH",82,2.99
"FROST HEAD",82,0.99
"PERFECT GROOVE",82,2.99
"RAIDERS ANTITRUST",82,0.99
"REIGN GENTLEMEN",82,2.99
"TYCOON GATHERING",82,4.99
"CLASH FREDDY",81,2.99
"DESPERATE TRAINSPOTTING",81,4.99
"ROMAN PUNK",81,0.99
"FLAMINGOS CONNECTICUT",80,4.99
