title,Actors
"ENTRAPMENT SATISFACTION",4
"ESCAPE METROPOLIS",4
"EVE RESURRECTION",6
"EVERYONE CRAFT",5
"EVOLUTION ALTER",6
"EXCITEMENT EVE",8
"EXORCIST STING",5
"EXPECATIONS NATURAL",3
"EXPENDABLE STALLION",4
"EXPRESS LONELY",8
"EXTRAORDINARY CONQUERER",7
"EYES DRIVING",5
"FACTORY DRAGON",6
"FALCON VOLUME",4
"FAMILY SWEET",9
"FANTASIA PARK",3
"FANTASY TROOPERS",9
"FARGO GANDHI",5
"FATAL HAUNTED",6
"FEATHERS METAL",9
"FELLOWSHIP AUTUMN",7
"FERRIS MOTHER",1
"FEUD FROGMEN",4
"FEVER EMPIRE",3
"FICTION CHRISTMAS",8
"FIDDLER LOST",11
"FIDELITY DEVIL",4
"FIGHT JAWBREAKER",3
"FINDING ANACONDA",5
"FIRE WOLVES",5
"FIREBALL PHILADELPHIA",5
"FIREHOUSE VIETNAM",5
"FISH OPUS",2
"FLAMINGOS CONNECTICUT",9
"FLASH WARS",7
"FLATLINERS KILLER",9
"FLIGHT LIES",0
"FLINTSTONES HAPPINESS",4
"FLOATS GARDEN",5
"FLYING HOOK",8
"FOOL MOCKINGBIRD",2
"FOREVER CANDIDATE",1
"FORREST SONS",5
"FORRESTER COMANCHEROS",3
"FORWARD TEMPLE",3
"FRANKENSTEIN STRANGER",2
"FREAKY POCUS",5
"FREDDY STORM",3
"FREEDOM CLEOPATRA",5
"FRENCH HOLIDAY",7
"FRIDA SLIPPER",5
"FRISCO FORREST",9
"FROGMEN BREAKING",6
"FRONTIER CABIN",6
"FROST HEAD",7
"FUGITIVE MAGUIRE",11
"FULL FLATLINERS",6
"FURY MURDER",4
"GABLES METROPOLIS",8
"GALAXY SWEETHEARTS",3
"GAMES BOWFINGER",8
"GANDHI KWAI",8
"GANGS PRIDE",4
"GARDEN ISLAND",3
"GASLIGHT CRUSADE",5
"GATHERING CALENDAR",3
"GENTLEMEN STAGE",8
"GHOST GROUNDHOG",5
"GHOSTBUSTERS ELF",1
"GIANT TROOPERS",1
"GILBERT PELICAN",4
"GILMORE BOILED",6
"GLADIATOR WESTWARD",6
"GLASS DYING",4
"GLEAMING JAWBREAKER",8
"GLORY TRACY",6
"GO PURPLE",3
"GODFATHER DIARY",6
"GOLD RIVER",2
"GOLDFINGER SENSIBILITY",4
"GOLDMINE TYCOON",7
"GONE TROUBLE",5
"GOODFELLAS SALUTE",8
"GORGEOUS BINGO",7
"GOSFORD DONNIE",3
"GRACELAND DYNAMITE",6
"GRADUATE LORD",2
"GRAFFITI LOVE",6
"GRAIL FRANKENSTEIN",5
"GRAPES FURY",5
"GREASE YOUTH",3
"GREATEST NORTH",6
"GREEDY ROOTS",8
"GREEK EVERYONE",4
"GRINCH MASSAGE",6
"GRIT CLOCKWORK",3
"GROOVE FICTION",7
"GROSSE WONDERFUL",4
"GROUNDHOG UNCUT",7
"GUMP DATE",6
"GUN BONNIE",5
"GUNFIGHT MOON",4
"GUNFIGHTER MUSSOLINI",4
"GUYS FALCON",5
"HALF OUTFIELD",6
"HALL CASSIDY",5
"HALLOWEEN NUTS",7
"HAMLET WISDOM",5
"HANDICAP BOONDOCK",7
"HANGING DEEP",7
"HANKY OCTOBER",3
"HANOVER GALAXY",7
"HAPPINESS UNITED",5
"HARDLY ROBBERS",3
"HAROLD FRENCH",7
"HARPER DYING",4
"HARRY IDAHO",6
"HATE HANDICAP",3
"HAUNTED ANTITRUST",5
"HAUNTING PIANIST",5
"HAWK CHILL",7
"HEAD STRANGER",2
"HEARTBREAKERS BRIGHT",5
"HEAVEN FREEDOM",10
"HEAVENLY GUN",6
"HEAVYWEIGHTS BEAST",5
"HEDWIG ALTER",4
"HELLFIGHTERS SIERRA",12
"HIGH ENCINO",7
"HIGHBALL POTTER",5
"HILLS NEIGHBORS",6
"HOBBIT ALIEN",8
"HOCUS FRIDA",3
"HOLES BRANNIGAN",11
"HOLIDAY GAMES",6
"HOLLOW JEOPARDY",2
"HOLLYWOOD ANONYMOUS",6
"HOLOCAUST HIGHBALL",5
"HOLY TADPOLE",3
"HOME PITY",6
"HOMEWARD CIDER",7
"HOMICIDE PEACH",8
"HONEY TIES",5
"HOOK CHARIOTS",4
"HOOSIERS BIRDCAGE",10
"HOPE TOOTSIE",4
"HORN WORKING",8
"HORROR REIGN",5
"HOTEL HAPPINESS",4
"HOURS RAGE",6
"HOUSE DYNAMITE",9
"HUMAN GRAFFITI",4
"HUNCHBACK IMPOSSIBLE",2
"HUNGER ROOF",1
"HUNTER ALTER",4
"HUNTING MUSKETEERS",5
"HURRICANE AFFAIR",3
"HUSTLER PARTY",4
"HYDE DOCTOR",6
"HYSTERICAL GRAIL",9
"ICE CROSSING",6
"IDAHO LOVE",6
"IDENTITY LOVER",4
"IDOLS SNATCHERS",8
"IGBY MAKER",5
"ILLUSION AMELIE",7
"IMAGE PRINCESS",11
"IMPACT ALADDIN",3
"IMPOSSIBLE PREJUDICE",3
"INCH JET",5
"INDEPENDENCE HOTEL",9
"INDIAN LOVE",10
"INFORMER DOUBLE",3
"INNOCENT USUAL",3
"INSECTS STONE",4
"INSIDER ARIZONA",9
"INSTINCT AIRPORT",11
"INTENTIONS EMPIRE",2
"INTERVIEW LIAISONS",5
"INTOLERABLE INTENTIONS",6
"INTRIGUE WORST",7
"INVASION CYCLONE",7
"IRON MOON",8
"ISHTAR ROCKETEER",4
"ISLAND EXORCIST",3
"ITALIAN AFRICAN",2
"JACKET FRISCO",10
"JADE BUNCH",8
"JAPANESE RUN",9
"JASON TRAP",5
"JAWBREAKER BROOKLYN",5
"JAWS HARRY",5
"JEDI BENEATH",4
"JEEPERS WEDDING",6
"JEKYLL FROGMEN",3
"JEOPARDY ENCINO",5
"JERICHO MULAN",4
"JERK PAYCHECK",8
"JERSEY SASSY",9
"JET NEIGHBORS",6
"JINGLE SAGEBRUSH",2
"JOON NORTHWEST",2
"JUGGLER HARDLY",9
"JUMANJI BLADE",6
"JUMPING WRATH",8
"JUNGLE CLOSER",6
"KANE EXORCIST",5
"KARATE MOON",8
"KENTUCKIAN GIANT",4
"KICK SAVANNAH",6
"KILL BROTHERHOOD",5
"KILLER INNOCENT",5
"KING EVOLUTION",6
"KISS GLORY",7
"KISSING DOLLS",3
"KNOCK WARLOCK",6
"KRAMER CHOCOLATE",8
"KWAI HOMEWARD",5
"LABYRINTH LEAGUE",6
"LADY STAGE",8
"LADYBUGS ARMAGEDDON",4
"LAMBS CINCINATTI",15
"LANGUAGE COWBOY",6
"LAWLESS VISION",4
"LAWRENCE LOVE",2
"LEAGUE HELLFIGHTERS",6
"LEATHERNECKS DWARFS",7
"LEBOWSKI SOLDIERS",3
"LEGALLY SECRETARY",6
"LEGEND JEDI",4
"LESSON CLEOPATRA",12
"LIAISONS SWEET",6
"LIBERTY MAGNIFICENT",7
"LICENSE WEEKEND",8
"LIES TREATMENT",7
"LIFE TWISTED",8
"LIGHTS DEER",2
"LION UNCUT",3
"LOATHING LEGALLY",5
"LOCK REAR",2
"LOLA AGENT",6
"LOLITA WORLD",1
"LONELY ELEPHANT",12
"LORD ARIZONA",6
"LOSE INCH",4
"LOSER HUSTLER",5
"LOST BIRD",3
"LOUISIANA HARRY",3
"LOVE SUICIDES",4
"LOVELY JINGLE",6
"LOVER TRUMAN",7
"LOVERBOY ATTACKS",9
"LUCK OPUS",6
"LUCKY FLYING",10
"LUKE MUMMY",9
"LUST LOCK",7
"MADIGAN DORADO",6
"MADISON TRAP",5
"MADNESS ATTACKS",7
"MADRE GABLES",4
"MAGIC MALLRATS",4
"MAGNIFICENT CHITTY",7
"MAGNOLIA FORRESTER",7
"MAGUIRE APACHE",4
"MAIDEN HOME",8
"MAJESTIC FLOATS",5
"MAKER GABLES",11
"MALKOVICH PET",7
"MALLRATS UNITED",5
"MALTESE HOPE",1
"MANCHURIAN CURTAIN",2
"MANNEQUIN WORST",5
"MARRIED GO",3
"MARS ROMAN",7
"MASK PEACH",11
"MASKED BUBBLE",3
"MASSACRE USUAL",3
"MASSAGE IMAGE",9
"MATRIX SNOWMAN",3
"MAUDE MOD",6
"MEET CHOCOLATE",6
"MEMENTO ZOOLANDER",6
"MENAGERIE RUSHMORE",2
"MERMAID INSECTS",6
"METAL ARMAGEDDON",8
"METROPOLIS COMA",6
"MICROCOSMOS PARADISE",6
"MIDNIGHT WESTWARD",9
"MIDSUMMER GROUNDHOG",2
"MIGHTY LUCK",8
"MILE MULAN",3
"MILLION ACE",5
"MINDS TRUMAN",6
"MINE TITANS",2
"MINORITY KISS",1
"MIRACLE VIRTUAL",1
"MISSION ZOOLANDER",5
"MIXED DOORS",6
"MOB DUFFEL",6
"MOCKINGBIRD HOLLYWOOD",3
"MOD SECRETARY",6
"MODEL FISH",8
"MODERN DORADO",5
"MONEY HAROLD",7
"MONSOON CAUSE",5
"MONSTER SPARTACUS",7
"MONTEREY LABYRINTH",6
"MONTEZUMA COMMAND",2
"MOON BUNCH",1
"MOONSHINE CABIN",5
"MOONWALKER FOOL",7
"MOSQUITO ARMAGEDDON",4
"MOTHER OLEANDER",5
"MOTIONS DETAILS",8
"MOULIN WAKE",3
"MOURNING PURPLE",7
"MOVIE SHAKESPEARE",8
"MULAN MOON",5
"MULHOLLAND BEAST",6
"MUMMY CREATURES",13
"MUPPET MILE",8
"MURDER ANTITRUST",8
"MUSCLE BRIGHT",5
"MUSIC BOONDOCK",3
"MUSKETEERS WAIT",1
"MUSSOLINI SPOILERS",7
"MYSTIC TRUMAN",4
"NAME DETECTIVE",3
"NASH CHOCOLAT",7
"NATIONAL STORY",7
"NATURAL STOCK",4
"NECKLACE OUTBREAK",8
"NEIGHBORS CHARADE",7
"NEMO CAMPUS",5
"NETWORK PEAK",3
"NEWSIES STORY",8
"NEWTON LABYRINTH",4
"NIGHTMARE CHILL",2
"NONE SPIKING",6
"NOON PAPI",6
"NORTH TEQUILA",5
"NORTHWEST POLISH",8
"NOTORIOUS REUNION",2
"NOTTING SPEAKEASY",2
"NOVOCAINE FLIGHT",6
"NUTS TIES",2
"OCTOBER SUBMARINE",5
"ODDS BOOGIE",5
"OKLAHOMA JUMANJI",9
"OLEANDER CLUE",10
"OPEN AFRICAN",9
"OPERATION OPERATION",3
"OPPOSITE NECKLACE",6
"OPUS ICE",4
"ORANGE GRAPES",5
"ORDER BETRAYED",7
"ORIENT CLOSER",4
"OSCAR GOLD",6
"OTHERS SOUP",4
"OUTBREAK DIVINE",5
"OUTFIELD MASSACRE",4
"OUTLAW HANKY",7
"OZ LIAISONS",11
"PACIFIC AMISTAD",8
"PACKER MADIGAN",1
"PAJAMA JAWBREAKER",5
"PANIC CLUB",3
"PANKY SUBMARINE",8
"PANTHER REDS",5
"PAPI NECKLACE",3
"PARADISE SABRINA",4
"PARIS WEEKEND",6
"PARK CITIZEN",6
"PARTY KNOCK",2
"PAST SUICIDES",6
"PATHS CONTROL",5
"PATIENT SISTER",4
"PATRIOT ROMAN",4
"PATTON INTERVIEW",9
"PAYCHECK WAIT",3
"PEACH INNOCENT",5
"PEAK FOREVER",5
"PEARL DESTINY",4
"PELICAN COMFORTS",5
"PERDITION FARGO",5
"PERFECT GROOVE",6
"PERSONAL LADYBUGS",9
"PET HAUNTING",7
"PHANTOM GLORY",2
"PHILADELPHIA WIFE",2
"PIANIST OUTFIELD",5
"PICKUP DRIVING",5
"PILOT HOOSIERS",7
"PINOCCHIO SIMON",11
"PIRATES ROXANNE",1
"PITTSBURGH HUNCHBACK",5
"PITY BOUND",5
"PIZZA JUMANJI",5
"PLATOON INSTINCT",5
"PLUTO OLEANDER",7
"POCUS PULP",5
"POLISH BROOKLYN",10
"POLLOCK DELIVERANCE",6
"POND SEATTLE",3
"POSEIDON FOREVER",6
"POTLUCK MIXED",6
"POTTER CONNECTICUT",7
"PREJUDICE OLEANDER",10
"PRESIDENT BANG",5
"PRIDE ALAMO",4
"PRIMARY GLASS",7
"PRINCESS GIANT",5
"PRIVATE DROP",5
"PRIX UNDEFEATED",7
"PSYCHO SHRUNK",1
"PULP BEVERLY",7
"PUNK DIVORCE",7
"PURE RUNNER",2
"PURPLE MOVIE",8
"QUEEN LUKE",6
"QUEST MUSSOLINI",5
"QUILLS BULL",4
"RACER EGG",6
"RAGE GAMES",7
"RAGING AIRPLANE",3
"RAIDERS ANTITRUST",6
"RAINBOW SHOCK",6
"RANDOM GO",13
"RANGE MOONWALKER",4
"REAP UNFAITHFUL",4
"REAR TRADING",8
"REBEL AIRPORT",6
"RECORDS ZORRO",8
"REDEMPTION COMFORTS",5
"REDS POCUS",5
"REEF SALUTE",4
"REIGN GENTLEMEN",3
"REMEMBER DIARY",4
"REQUIEM TYCOON",8
"RESERVOIR ADAPTATION",8
"RESURRECTION SILVERADO",5
"REUNION WITCHES",7
"RIDER CADDYSHACK",9
"RIDGEMONT SUBMARINE",5
"RIGHT CRANES",7
"RINGS HEARTBREAKERS",11
"RIVER OUTLAW",4
"ROAD ROXANNE",8
"ROBBERS JOON",5
"ROBBERY BRIGHT",2
"ROCK INSTINCT",8
"ROCKETEER MOTHER",7
"ROCKY WAR",3
"ROLLERCOASTER BRINGING",3
"ROMAN PUNK",2
"ROOF CHAMPION",5
"ROOM ROMAN",2
"ROOTS REMEMBER",10
"ROSES TREASURE",5
"ROUGE SQUAD",4
"ROXANNE REBEL",5
"RUGRATS SHAKESPEARE",6
"RULES HUMAN",5
"RUN PACIFIC",6
"RUNAWAY TENENBAUMS",3
"RUNNER MADIGAN",8
"RUSH GOODFELLAS",5
"RUSHMORE MERMAID",7
"SABRINA MIDNIGHT",4
"SADDLE ANTITRUST",3
"SAGEBRUSH CLUELESS",7
"SAINTS BRIDE",10
"SALUTE APOLLO",4
"SAMURAI LION",2
"SANTA PARIS",6
"SASSY PACKER",3
"SATISFACTION CONFIDENTIAL",5
"SATURDAY LAMBS",9
"SATURN NAME",2
"SAVANNAH TOWN",6
"SCALAWAG DUCK",5
"SCARFACE BANG",7
"SCHOOL JACKET",8
"SCISSORHANDS SLUMS",5
"SCORPION APOLLO",8
"SEA VIRGIN",8
"SEABISCUIT PUNK",3
"SEARCHERS WAIT",4
"SEATTLE EXPECATIONS",6
"SECRET GROUNDHOG",3
"SECRETARY ROUGE",6
"SECRETS PARADISE",6
"SENSE GREEK",7
"SENSIBILITY REAR",6
"SEVEN SWARM",7
"SHAKESPEARE SADDLE",6
"SHANE DARKNESS",3
"SHANGHAI TYCOON",8
"SHAWSHANK BUBBLE",10
"SHEPHERD MIDSUMMER",5
"SHINING ROSES",5
"SHIP WONDERLAND",8
"SHOCK CABIN",1
"SHOOTIST SUPERFLY",3
"SHOW LORD",2
"SHREK LICENSE",3
"SHRUNK DIVINE",4
"SIDE ARK",6
"SIEGE MADRE",7
"SIERRA DIVIDE",5
"SILENCE KANE",4
"SILVERADO GOLDFINGER",5
"SIMON NORTH",3
"SINNERS ATLANTIS",4
"SISTER FREDDY",3
"SKY MIRACLE",12
"SLACKER LIAISONS",0
"SLEEPING SUSPECTS",4
"SLEEPLESS MONSOON",4
"SLEEPY JAPANESE",6
"SLEUTH ORIENT",7
"SLING LUKE",3
"SLIPPER FIDELITY",7
"SLUMS DUCK",3
"SMILE EARRING",8
"SMOKING BARBARELLA",6
"SMOOCHY CONTROL",2
"SNATCH SLIPPER",3
"SNATCHERS MONTEZUMA",9
"SNOWMAN ROLLERCOASTER",3
"SOLDIERS EVOLUTION",9
"SOMETHING DUCK",3
"SONG HEDWIG",5
"SONS INTERVIEW",6
"SORORITY QUEEN",4
"SOUP WISDOM",2
"SOUTH WAIT",2
"SPARTACUS CHEAPER",3
"SPEAKEASY DATE",3
"SPEED SUIT",6
"SPICE SORORITY",11
"SPIKING ELEMENT",6
"SPINAL ROCKY",8
"SPIRIT FLINTSTONES",11
"SPIRITED CASUALTIES",5
"SPLASH GUMP",10
"SPLENDOR PATTON",10
"SPOILERS HELLFIGHTERS",7
"SPY MILE",8
"SQUAD FISH",5
"STAGE WORLD",2
"STAGECOACH ARMAGEDDON",6
"STALLION SUNDANCE",7
"STAMPEDE DISTURBING",6
"STAR OPERATION",5
"STATE WASTELAND",7
"STEEL SANTA",3
"STEERS ARMAGEDDON",4
"STEPMOM DREAM",4
"STING PERSONAL",7
"STOCK GLASS",7
"STONE FIRE",1
"STORM HAPPINESS",8
"STORY SIDE",5
"STRAIGHT HOURS",3
"STRANGELOVE DESIRE",9
"STRANGER STRANGERS",9
"STRANGERS GRAFFITI",5
"STREAK RIDGEMONT",3
"STREETCAR INTENTIONS",7
"STRICTLY SCARFACE",4
"SUBMARINE BED",11
"SUGAR WONKA",5
"SUICIDES SILENCE",3
"SUIT WALLS",5
"SUMMER SCARFACE",8
"SUN CONFESSIONS",5
"SUNDANCE INVASION",7
"SUNRISE LEAGUE",5
"SUNSET RACER",3
"SUPER WYOMING",3
"SUPERFLY TRIP",7
"SUSPECTS QUILLS",8
"SWARM GOLD",6
"SWEDEN SHINING",5
"SWEET BROTHERHOOD",6
"SWEETHEARTS SUSPECTS",5
"TADPOLE PARK",8
"TALENTED HOMICIDE",5
"TARZAN VIDEOTAPE",3
"TAXI KICK",6
"TEEN APOLLO",5
"TELEGRAPH VOYAGE",7
"TELEMARK HEARTBREAKERS",11
"TEMPLE ATTRACTION",5
"TENENBAUMS COMMAND",5
"TEQUILA PAST",3
"TERMINATOR CLUB",2
"TEXAS WATCH",6
"THEORY MERMAID",6
"THIEF PELICAN",7
"THIN SAGEBRUSH",2
"TIES HUNGER",6
"TIGHTS DAWN",5
"TIMBERLAND SKY",4
"TITANIC BOONDOCK",12
"TITANS JERK",7
"TOMATOES HELLFIGHTERS",9
"TOMORROW HUSTLER",6
"TOOTSIE PILOT",5
"TORQUE BOUND",5
"TOURIST PELICAN",3
"TOWERS HURRICANE",4
"TOWN ARK",4
"TRACY CIDER",3
"TRADING PINOCCHIO",3
"TRAFFIC HOBBIT",4
"TRAIN BUNCH",4
"TRAINSPOTTING STRANGERS",4
"TRAMP OTHERS",6
"TRANSLATION SUMMER",3
"TRAP GUYS",7
"TREASURE COMMAND",7
"TREATMENT JEKYLL",5
"TRIP NEWTON",4
"TROJAN TOMORROW",8
"TROOPERS METAL",5
"TROUBLE DATE",8
"TRUMAN CRAZY",6
"TURN STAR",3
"TUXEDO MILE",3
"TWISTED PIRATES",3
"TYCOON GATHERING",6
"UNBREAKABLE KARATE",8
"UNCUT SUICIDES",7
"UNDEFEATED DALMATIONS",3
"UNFAITHFUL KILL",8
"UNFORGIVEN ZOOLANDER",7
"UNITED PILOT",6
"UNTOUCHABLES SUNRISE",5
"UPRISING UPTOWN",5
"UPTOWN YOUNG",7
"USUAL UNTOUCHABLES",5
"VACATION BOONDOCK",6
"VALENTINE VANISHING",2
"VALLEY PACKER",4
"VAMPIRE WHALE",5
"VANILLA DAY",2
"VANISHED GARDEN",2
"VANISHING ROCKY",5
"VARSITY TRIP",3
"VELVET TERMINATOR",9
"VERTIGO NORTHWEST",4
"VICTORY ACADEMY",5
"VIDEOTAPE ARSENIC",5
"VIETNAM SMOOCHY",2
"VILLAIN DESPERATE",2
"VIRGIN DAISY",8
